location,iso_code,population
United States Virgin Islands,VIR,104218
Upper middle income,OWID_UMC,2513672790
Uruguay,URY,3485152
Uzbekistan,UZB,33935765
Vanuatu,VUT,314464
Vatican,VAT,812
Venezuela,VEN,28704947
Vietnam,VNM,98168829
Wallis and Futuna,WLF,11094
Western Sahara,ESH,611872
World,OWID_WRL,7874965730
World excl. China,OWID_WEC,6430749628
Yemen,YEM,30490639
Zambia,ZMB,18920657
Zimbabwe,ZWE,15092171
